cell_type	day	molecule	dose	log2FC	pinhib	pval	padj	log10padj	hit
OCI-Ly1	D5	GSK-J1 (sodium salt)	500	0.404771148667573	1.32387888993339	0.04977583285084	0.0687754409737158	1.16256661632414	Not a hit
OCI-Ly1	D5	GSK-J1 (sodium salt)	1000	0.0893289213155263	1.06387519909075	0.390241384394818	0.419964929643563	0.376786975074026	Not a hit
OCI-Ly1	D5	GSK-J2 (sodium salt)	100	0.320227616552214	1.24852751576112	0.117240811192829	0.14588487301835	0.835989738300174	Not a hit
OCI-Ly1	D5	GSK-J2 (sodium salt)	500	0.401926987838382	1.32127153682642	0.0415245813915468	0.058670214998379	1.23158232029844	Not a hit
OCI-Ly1	D5	GSK-J2 (sodium salt)	1000	0.150008370543154	1.109575909829	0.244734802139937	0.276986675290161	0.557541122585893	Not a hit
OCI-Ly1	D5	GSK-J4 (hydrochloride)	100	0.21703267896896	1.16234043578276	0.180619635272566	0.212665054433828	0.672303868411413	Not a hit
OCI-Ly1	D5	GSK-J4 (hydrochloride)	500	0.224079133580499	1.16803146080458	0.250881050244628	0.28189900518911	0.549906456734437	Not a hit
OCI-Ly1	D5	GSK-J4 (hydrochloride)	1000	-0.0231576512280942	0.984076480704426	0.836978611664449	0.846643491706764	0.0722994257709287	Not a hit
OCI-Ly1	D5	GSK-J5 (hydrochloride)	100	-0.0948041231215048	0.93639937515758	0.351745278486587	0.384200578496571	0.41544198555012	Not a hit
OCI-Ly1	D5	GSK-J5 (hydrochloride)	500	-0.0144222226480826	0.990053078181524	0.85490802774161	0.862787364402823	0.064096223803976	Not a hit
