OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
ADK	1493.9993	1033.9997	1449.9999	1476.0002	1415.9998	1092.0002	1809.0039	1270.0005	1650.9963
ADM	115	75	106	75	87	59	152	112	140
ADM2	93.1622	56.5144	103.623	146.676	130.7111	97.6014	696.681	568.02	664.291
ADM5	114	90	135	152	122	87	133	134	128
ADNP	2477	1530.997	2434.996	2454	2353	1924.005	2895.998	2074.996	2753
ADNP2	2133	1427	2002	1998	2035	1452	2437	1963	2267
ADO	938	588	911	1018	909	730	1588	1309	1483
ADORA1	0	0	0	0	0	0	2	0	0
ADORA2A	543.131	350.004	427.161	455.57	444.031	273.616	535.337	426.894	488
ADORA2A-AS1	90.3526	76.3223	94.6816	67.0807	52.2162	56.0561	57.9006	44.2036	67.1522
ADORA2B	42.0746	19.9785	37.8181	28.9938	29.1726	27.0371	35.0705	41.2589	42.4051
ADORA3	3	3	7	5	8	2	7	11	0
ADPGK	2008.445	1364.953	1924.052	1964.043	1923.166	1423.862	2991.403	2236.902	2550.379
ADPGK-AS1	76.5545	37.0476	83.9501	63.952	58.8534	49.1375	172.599	123.102	155.616
ADPRH	58	50	67	53	52	49	102	91	96
ADPRHL1	201.0001	150.9997	229.0001	192.9997	160	123.0002	194.9996	150.0003	123
ADPRHL2	1097	771	1004	1038	926	701	1562	1212	1367
ADPRM	163	97	160	153	160	124	216	148	181
ADRA1A	11.7211	20.0984	14.7428	14.6639	10.5474	19.8675	10.379	9.73801	16.6939
ADRA1B	0	0	0	0	0	0	1	1	0
ADRA1D	0	0	0	0	0	0	0	0	0
ADRA2A	0	0	0	0	0	0	2	0	0
ADRA2B	0	0	1	5	2	2	0	3	3
ADRA2C	0	0	0	0	0	0	0	0	1
ADRB1	6	17.1403	1.05093	2	8	6.53688	3.00135	3.63288	6.11232
ADRB2	27	19	27	28	44	22	188	118	158
ADRB3	21.4875	13.1253	15.9324	16.2546	19.921	9.27497	25.6354	9.34236	10.3532
ADRBK1	4081	2688	3473	3838	3668	2605	4553	3560	4072
ADRBK2	320.706	183.818	250.562	309.629	308.308	230.678	593.56	437.571	490.728
ADRM1	3328.998	1999.999	2941.996	3058.996	2658	2150.001	3091.004	2527.002	2708.996
ADSL	4797.998	3352	4750.002	4789.998	4347.995	3372	5561.996	3743.001	4533.001
ADSS	2308	1700	2495	2357	2474	1908	2954	2178	2686
ADSSL1	6	0	3	1	3	0	2	1	3
ADTRP	0	0	2	0	0	0	0	0	0
AEBP1	295	163	196	284	196	184	219	221	227
AEBP2	890.0003	646	1020.217	852	1013.999925	783.0001	1254.9178	1030.9992	1111.196
AEN	2771	1933	2439	3059	2740	1880	4633	3664	3994
AES	2407.9977	1727.9959	2412.0002	2621.9992	2294.002	1801.9973	3680.9973	2866.004	3099.999
AFAP1	75.5797	56.9717	72	87.8728	56.7456	53	102.9243	57.9967	98
AFAP1-AS1	166.173	106.242	170.481	171.388	154.683	108.223	195.322	131.029	160
AFAP1L1	34.0196	12.0059	23.0108	29.0114	17.0059	15.0071	26.00903165	19.0117	37.0018
AFAP1L2	36	37	56.99995	31	41	22	97	88	104
AFF1	1162.237	838.88	1331.585	1211.237	1085.604	954.0631	1839.799	1651.91	1931.989
AFF2	2322.08364	1479.99934458	2284	2360.27220001431	2306.999625	1824.9989523	3186.451271	2453.99896924	2927.3427155
AFF3	2362.888	1472.736	2275.013	2109.13	1919.726	1601.979	2285.153	1922.456	2066.736
AFF4	2448	1690	2422	2402	2548	1960	3976	3126	3636
AFG3L1P	1071.5856	669.6084	1021.2734	1045.1904	995.0844	763.6872	1317.017	952.24	1059.657
AFG3L2	7519	5444	7603	7303	7010	5190	8462	6370	7271
AFM	1	0	1	2	2	2	3	3	2
AFMID	2172.95	1330.251	1847.007	1811.289	1716.605	1337.682	1937.246	1371.893	1788.37
AFP	0	0	0	0	0	0	0	0	0
AFTPH	2466.002	1686	2584	2439	2742.003	2072.997	3826	2888.996	3447.004
AGA	365.0004	199	354.0004	435.9996	420.00034	317.00011	751.9998	545.9995	673.9995
AGAP1	13.00000018963	9.000000253716	26.000000397914	19.004600340101	30.00000196286	15.000000614419	13.000000201197	20.000000488	22.000000461717
AGAP11	53.3113	43.6673	45.0054	43.7802	34.7556	26.8235	50.4642	37.989	38.5669
AGAP2	871.463	527.9996	769.8909	903.003	673.62	549.6459	1213.299	993.53	1143.4578
AGAP3	95.00003	79	85.00005	100	102	95.00001	290.9996	307.0002	311.9996
AGAP4	201.504	96.5839	196.561	218.437	183.823	89.6756	257.657	278.117	229.837
AGAP5	177.798	169.674	195.357	169.544	186.178	133.641	257.212	199.221	255.829
AGAP6	661.661	382.025	574.778	593.379	570.874	405.929	795.823	669.58	774.433
AGAP7	6.82174	14.227	17.7937	19.7576	16.2113	18.3264	25.5587	11.5135	16.482
AGAP8	102.085	79.7473	94.7797	98.2735	92.0173	117.445	126.379	71.7247	99.5149
AGAP9	199.99	117.736	217.947	176.592	198.901	166.125	270.6367	199.998	250.14
AGBL1	3	4	2	1	2	1	1	0	3
AGBL2	52.5224	22	64.8906	66	41.5141	39	109	58	130.174
AGBL3	128	72	118	104	113	83	209	167	175
AGBL4	9.23551	8.17293	15.4925	12.0527	13.1746	8.07368	11.6636	19.7587	5.93351
AGBL5	1451.342	1028.043	1400.851	1467.259	1333.857	1163.354	2462.02	2077.316	2263.787
AGER	98.99998	62	86.0000319	97.99996	78.99998	91.99989	119	87.00012123034	106
AGFG1	1416.9958	907.0005	1387.1881	1266.1831	1481.2127	1154.9998	1706.9952	1412.995	1718.9996
AGFG2	255	169	202	260	228	170	473	368	381
AGGF1	3033	2311	3461	2998	3259	2606	4309	2996	3570
AGK	1516	1028	1546	1539	1515	1239	2128	1587	1857
AGL	3197.003872656	2200.9960220859	3440.99869622551	3081.002768757	3191.9971313	2732.9986258	3298.001961	2435.0000971	2998.999671
AGMAT	223.96	176.298	267.122	238.293	255.822	170.32	270.371	261.124	261.407
AGMO	22.9171	19.7911	35.6409	28.1951	12.9105	20.5698	14.2267	14.6361	25.439
AGO1	2138	1437	2077	2085	1954	1496	2257	1716	2116
AGO2	1155.9991	834.0003	1120.0021	1073.0034	1003	814	1466	1268	1441
AGO3	1099.9952	664.0001	1084.9985	914.0003	948.9995	735.0002	1443	1158.9957	1382.0027
AGO4	1017.33	726.239	1104.07	965.999	973.839	821.344	1400.9	1087.41	1260.45
AGPAT1	690.0003	414.874	670.0003	715	648	556	1246	902	1020
AGPAT2	32	21	31	45	28.00002	20.99997	203	178.9998	202
AGPAT3	1311	995	1236	1276.999	1136	888	1323.998	1011.99737	1231.0001
AGPAT4	105	54	134	86	77	76	134	49	98
AGPAT4-IT1	1.00532	0	0	0	0	6.01634	3.01051	6.02187	4.01183
AGPAT5	2016	1353	2126	2026	2266	1641	2746	2078	2780
AGPAT6	2482.24	1701.71	2374.83	2335.9	2247.69	1765.6	3670.08	2745.25	3237.89
AGPAT9	0	0	0	1	0	0	0	6.999995	1
AGPHD1	111	81	105	104	106	83	135.99976	90	126
AGPS	3398.23	2410.86	3771.87	3295	3602.85	2866.26	4426.84	3153	3925.09
AGR2	0	0	0	1	0	2	0	0	1
AGR3	0	0	0	0	0	0	0	0	0
AGRN	154	74	110	180	150	92	222	217	236
AGRP	75	44	73	51	54	19	51	53	39
AGSK1	106.6224	117.383057928	105.3947	118.7149	99.4424	91.3998	434.22556658	347.562	253.4132
AGT	0	0	1	0	0	0	0	0	0
AGTPBP1	2955	2181	3508	3310	3495	2823	5754	4265	5146
AGTR1	0	0	0	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0	0	0	0
AGTRAP	207.9999	140	174.9999	225.9996	170.99952	149	397.9996	322.99958	321.0003
AGXT	0	0	0	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0	0	0	0
AGXT2L1	0	0	2.00000127746	0	0	0	0	0	0
AGXT2L2	662	398	548	727	624	462	1445	1114	1161
AHCTF1	5985.44	4273.59	6332.88	5944.41	6030.28	4846.32	8089.48	6243.37	7278.2
AHCTF1P1	22.5593	8.41348	18.1245	19.595	22.7227	9.68025	24.5175	19.6318	31.8022
AHCY	7774.9986	5222.0014	6905.9962	7559.9972	7202.9951	5217.9978	8365.00168	6652.0023	7490.9963
AHCYL1	1714.0039221	1272.9998	1809.9981	1859.99824	1902.00016	1314.00025	3341.997	2304.9958	3004.0046
AHCYL2	767.919	500.4469	719.3701	703.2628	683.2217	509.1511	1389.39695	1075.08645	1184.06145
AHDC1	236	174	178	257	207	136	297	259	305
AHI1	1164.361	734.5389	1244.696	1208.231	1240.359	1034.235	1686.77	1307.395	1552.457
AHNAK	282.00049	217.99955	291.00041	257.00001	207	170.99967	162	111	168.00045
AHNAK2	1	1	6	5	1	2	17	12	7
AHR	774.759	519.362	822.625	681.751	761.125	656.07	1273.5	966.569	1054.81
AHRR	593.5153	314.104	475.713	562.2986	515.5091	330.262	859.263	676.753	752.5463
AHSA1	8846	5977	8631	7697	7398	6146	7112	5607	6329
AHSA2	2119.22	1316.77	2142.21	2114.6	2127.03	1628.59	2506.8	2204.51	2370.1
AHSG	0	0	0	0	0	0	4	0	0
AHSP	0	0	0	0	0	0	0	0	2
AICDA	785.514	535.87	844.685	952.067	1061.82	787.324	1912.2	1610.55	1803.93
AIDA	1224	826	1276	1394	1450	1122	1996	1637	1882
AIF1	13.00001	21.00004	22.00003	22.00003	19.99998	13	17	11	26
AIF1L	14	10	3	8.00000166	14	7	69	16	40
AIFM1	2901.2722	1969.3738	2705.9493	2711.0481	2522.98309	2098.69895	2602.22036	1780.1398	2400.18696
AIFM2	721.99	483.509	674.623	654.633	572.551	427.454	744.389	529.849	689.486
AIFM3	4	5	5	4	8	4	14	4	6
AIG1	67	31	63	47	71	43	93	50	78
AIM1	5668.89	4109.27	5775.62	5833.87	6149.45	4864.33	8387.66	6245.16	7251.24
AIM1L	34	19	29	34	23	19	49	22	43
AIM2	25	21	23	35	15	25	26	15	24
AIMP1	1681.3702	1205.495	1756.426	1734.758	1762.476	1454.111	2807.5436	1986.2266	2243.221
AIMP2	999.541	622.75	884.638	953.104	890.407	684.286	1676.16	1206.63	1439.1
AIP	1589	1087	1440	1504	1348	1040	1731	1525	1538
AIPL1	38.196815	32.248893	46.431407	42.415665	35.868586	29.283519	35.138126	27.514363	45.102602
AIRE	34.1358	25.3942	40.0396	15.6713	25.2278	23.5751	21.3576	14.547	36.5211
AIRN	9	5	7	15	14.99997	8.000001	4	12	2.000002
AJAP1	4.00224	3.00458	3.00165	4	7.01257	5.00209	6.01145	4.00946	7.01741
AJUBA	19.3752	16.3174	30.9689	23.78228	29.7013	16.176700816331	57.738	45.2083	52.7004
AK1	245.357	153.009	194.8	187.118	183.607	139.858	366.072	284.302	348.198
AK2	6665.5987	4335.0025	6421.9967	6025.4754	6010.7409	4883.7357	7198	5435.9937	6477.96372
AK3	3312.1319	2224.347	3642.686	3011.8589	3421.797	2735.7817	3719.63032	2741.3132	3556.2843
AK4	144.31725168	105	266.0000476538	100.3753	75	51.000000115953	320.000327388	187.456101618	292.090227837
AK5	19	22	21	8	18	12	10	17	16
AK7	77	65	77	88	84	55	79	78	80
AK8	3	4	6	2	2	2	11	11	4
AKAP1	2349.997	1379.9952	2177.004	2118.9961	2012.9954	1593.9967	2731.9956	2041.999	2383.998
AKAP10	1070	737	1025	1068	1005	824	1424	1005	1298
AKAP11	2802.62	1936.31	3045.64	2781.36	2927.53	2227.47	2918.06	2404.19	2970.51
AKAP12	49.5664	39.487	48.3251	51.985	76.0822	45.1916	46.8815	26.4271	53.4696
AKAP13	7831.005	5329.997	7768.008	8042.999	7532.996	5842.004	13846.97	10088.004	12081.001
AKAP14	2	1	0	0	0	0	0	1	6
AKAP17A	1753.001	1187	1687.003	1793.999	1699.004	1311.998	3014.999	2412.004	2526.002
AKAP2	11432.95	8180.28	12024.29	11924.538	11419.21	9494.79	19197.67	14780.73	17046.42
AKAP3	7	8	0	9	9	2	20	11	15
AKAP4	0	0	0	0	0	0	0	0	0
AKAP5	205.791	152.269	214.395	150.114	229.039	174.999	282.594	163.104	302.259
AKAP6	37	15	38	39	31	27	45	43	69
AKAP7	23	8	19.00003	24	31.99996	19	49	43	35
AKAP8	2115	1448	2065	1974	1871	1383	2301	1907	2052
AKAP8L	1735	1142	1620	1682	1509	1262	2912	2251	2461
AKAP9	7848	5405	9023	7934	8684	7267	13642.98	10197	11783
AKD1	221.90386	160.28736	242.2769	193.546	228.06702	163.6051	342.4841	275.2136	288.9
AKIP1	498.14593	352.740760030692	465.66922	444.371830178898	493.15065138762	337.44824046	763.0876776318	540.45156	682.015800041223
AKIRIN1	2289.9059	1571.0909	2248.353	2248.9257	2314.97	1856.4157	3175.0926	2438.85533	2824.7559
AKIRIN2	744	392	645	715	753	568	1163	973	1042
AKNA	2429.45	1572.74	2335.74	2505.8	2180.65	1642.96	4353.55	3468.66	3774.63
AKNAD1	0	0	0	1	0	0	0	0	0
AKR1A1	2726.996	1794.9999	2329	2544	2335	1720.999249	3223.004	2466.999	2711
AKR1B1	4599	3044	3884	4839	4104	3090	5558	4586	5162
AKR1B10	28.5374	20.983	14.1268	25.9824	18.9775	18.5675	18.8232	20.1344	17.4166
AKR1B15	76	24	65	48	47	40	62	57	80
AKR1C1	0	0	0	0	0	0	0	0	0
AKR1C2	37	22	46	29	30	20	29	25	26
AKR1C3	0	0	0	0	0	0	0	1	0
AKR1C4	0	0	0	0	0	0	0	0	0
AKR1C6P	3.04314	2.01719	11.1077	8.05339	5.06672	2.02027	6.0124	5.00527	5.06735
AKR1CL1	0	0	0	0	0	0	0	0	0
AKR1D1	14.280900040339	9.3011500538105	14.3604000432227	11.211500038815	13.313800194947	5.112910044302	11.3701000341682	6.1693200310996	10.2454000436889
AKR1E2	0	0	0	0	0	0	0	0	0
AKR7A2	1737.84	1082.56	1586.62	1685.69	1426.07	1154.24	1775.98	1596.33	1713.73
AKR7A2P1	63	35	66	81	57	41	81	44	54
AKR7A3	25.5518	14.161	21.3778	28.3501	11.4977	10.595	38.0852	20.5797	25.5384
AKR7L	136.3512	79.8224	144.2827	99.3859	114.9881	96.11992	138.7546	117.3297	134.4386
AKT1	3850.5904	2626.00033157	3500.006106	3647.00131	3421.007	2507.999	4306.9987	3437.997	3831.9998
AKT1S1	429.0004	257.0003	406.9997	486.0005	384.0006	287.9997	703.0003	558	674.0001
AKT2	5118.0293	3368.5483	4449.949	4992.3686	4400.851	3321.201	5358.85	4223.4412	4821.229
AKT3	78.6025	47.1511	59.40833	77.3262	86.781	74.33964	300.8614	241.8765	229.3446
AKTIP	261.628	181.462	246.0025	225.162	324.6885	242.9011	471.6022	325.0809	408.278
ALAD	896	553	878	949	820	601	1227	1013	1142
ALAS1	1786.001	1070	1807.004	1757	1496.003	1214	2328.004	1780.999	2237
ALAS2	6	4	2	7	7	3	3	12	4
ALB	0	0	0	0	0	0	0	0	1
ALCAM	2106.0022	1464.0033	2499.9981	2214.0022	2539.9992	1873.0005	3342.0043	2571.00058	2919.9955
ALDH16A1	795.8308	508.0936	595.9997	797.0005	730	485.4353	1224.907	995.9996	1033
ALDH18A1	3076.002	2090	2997.996	2885.997	2694.995	2099.997	2644.005	1978.996	2459.998
ALDH1A1	0	0	0	0	0	0	2	0	0
ALDH1A2	0	0	1	0	0	0	3	0	0
ALDH1A3	168	132	206	193	192	145	180	161	141
ALDH1B1	139.468	127.234	163.031	146.31	155.942	100.755	127.655	120.149	158.785
ALDH1L1	2	0	0	0	0	0	0	0	0
ALDH1L1-AS1	0	0	0	0	0	0	0	0	0
ALDH1L1-AS2	0	0	0	0	0	0	0	0	0
ALDH1L2	86.594700056882	62.9372032	76.3906672	70.6602	102.66026	83.2096	268.556	194.801	181.166
ALDH2	62	36	47	107	119	74	548.0005	366.9996	434
ALDH3A1	0	0	0	0	0	0	0	0	0
ALDH3A2	1176.48	917.413	1193.419	1118.193	1178.594	904.264	1107.493	767.5542	1090.863
ALDH3B1	59.4061000976529	36.58706129581	60.1944	70.2865	48.6621	46.9106	84.0029	53.885600260372	61.5628
ALDH3B2	0	0	0	0	0	0	0	0	0
ALDH4A1	1	0	0	2	2	0	8	6	5
ALDH5A1	10512.69	7464.72	10889.49	10447.17	11066.93	8836.7	14881.75	11432.94	13492.91
ALDH6A1	192.204	134.004	169.212	192.728	222.344	159.723	418.237	350.987	370.154
ALDH7A1	38.8758	14.1105	21.6274	15.3249	24.6545	14.1666	23.3611	9.08153	21.2475
ALDH8A1	68.912446	43.9345338	60.6265689	56.3494011	63.552838	20.9689374	71.7733	66.9577	62.1637
ALDH9A1	2031	1492	1923	2070	2107	1545	2877	2196	2591
ALDOA	20726.048	14677.9981	20741.0515	19019.994	16566.0039	12949.996	18121.033	13972.006	15701.9935
ALDOB	4	2	0	6	4	2	3	7	0
ALDOC	878	668	1381	617	552	318	925	529	818
ALG1	1011.68	649.882	917.457	942.774	889.565	702.376	1364.28	1140.2	1258.12
ALG10	637.831	414.59	654.963	553.993	708.352	538.743	1035.41	715.287	981.16
ALG10B	2017.97	1483.59	2344.37	1761.28	2391.85	1760.5	3039.5	2428.84	3166.66
ALG11	384.6454	249.7122	342.65735	338.7377	419.2684	362.32126	460.9245	407.2942	423.8228
ALG12	658	412	572	616	557	453	805	664	795
ALG13	866.0660795	671.0001	971.17480766382	889.9998	959.042800012971	724.999954	1718.10756096	1227.277914561	1409.1200056
ALG14	204	148	199	201	214	141	303	220	249
ALG1L	22.82798	11.8444	30.0955	22.14029	21.98448	15.27098	26.9211	19.5782	29.70423
ALG1L2	13.1703	2	5.40026	16.3585	13.5494	7	18	22.455	14.0423
ALG1L9P	102.76173	68.149	100.2648	78.2572	98.53576	76.0287	116.64214	79.8268	111.39176
ALG2	771	522	792	700	807	633	1389	1042	1274
ALG3	648.00052	349.9996	573	654.0005	529.9992	471.00035	871.9999	686.00038	862.9998
ALG5	376	300	395	430	428	359	719	435	577
ALG6	1012	647	968	954	1183	885	1299	1070	1298
ALG8	998.237	725.35	1104.0757	1088.843	1137.014	884.045	1464.403	1033.151	1384.814
ALG9	1359.228	881.7761	1335.696	1421.098	1305.898	1004.98	2288.254	1675.054	1936.855
ALK	0	0	0	0	0	0	0	0	0
ALKBH1	483	339	477	482	441	366	710	550	672
ALKBH2	453.9996	332.9998	495.0003	489	441.0001	387	697.0003	522.9999	546.0004
ALKBH3	0	0	0	0	0	0	0	0	0
ALKBH4	898.764	675.481	824.542	805.488	727.59	552.832	1069.59	886.85	860.293
ALKBH5	4141	2897	4095	4323	4119	3132	7975	6100	6611
ALKBH6	222.0004	132.0003	207.9997	193.9996	209.9999	153.9998	344.0002	316	359.0005
ALKBH7	466	310	385	469	396	291	574	522	527
ALKBH8	914	630	879	916	1053	808	1786	1285	1653
ALLC	182	101	205	127	137	121	167	99	159
ALMS1	3780.41	2405.46	4083	3987.49	3572.3	2973.71	5160.13	3763.03	4662.08
ALMS1P	2	8	1	0	5.02474	3	13	2.00472	6
ALOX12	111	60	96	94	89	61	106	63	104
ALOX12B	51	31	40	41	47	42	75	65	79
ALOX12P2	359	188	365	295	341	251	591	389	475
ALOX15	7.48542	2.13333	8.60005	3.11437	8.48815	4.07963	3.1857	3.04116	11.4956
ALOX15B	18	9	10	10.0382	7	11	10.0378	9.0476	11.0449
ALOX15P1	13.7008	14.9155	30.839	20.9417	12.8819	7	27.8642	16	23.9109
ALOX5	4632	2760.995	4390.006	4465.009	3937.004	3268.9971	3231	2561.002	3043.0026
ALOX5AP	809	634	793.00041	922	868.00034	713	2347	1659.99737	2022.99531
ALOXE3	2	0	0	2	0	0	2	1	1
ALPI	0	0	0	0	0	0	0	0	1
ALPK1	879.826	546.595	1024.4933854	876.0203	864.7197	658.687	1190.01	1016.877	1211.775
ALPK2	0	1	0	3	1	5	175	95	138
ALPK3	15	19	15	20	15	14	18	21	20
ALPL	7	3	4	2	4	5	4	2	5
ALPP	32.2303	10.0725	21.1367	17.0663	24.1214	25.1805	43.1684	18.0982	34.4276
ALPPL2	0	0	0	0	0	0	0	0	0
ALS2	883.313	672.121	930.598	891.7	937.947	760.184	1756.079	1348.643	1441.571
ALS2CL	91.9281	66.3869	98.0956	74.8444	76.97199	70.4964	107.45565	68.48339	83.51677
ALS2CR11	0	0	2	1	5.000003	0	0	0	2
ALS2CR12	27	9	20.000000430501	32.00004	37.0000000305126	14	47	17.99999	38
ALS2CR8	457.728	233.138	438.559	398.042	385.197	343.659	699.708	579.056	615.412
ALX1	0	0	0	0	0	0	0	0	0
ALX3	106	61	93	110	93	54	128	88	107
ALX4	7	7	0	1	2	0	4	5	5
ALYREF	4751	3572	4540	4425	4504	3483	5161	3746	4438
AMACR	300.0767	156.0575	305.0319	270.07848	344.7939347056	196.6131	587.918	353.29119534	493.8578
AMBN	4	0	3	0	1	0	2	0	0
AMBP	0	0	0	1	0	0	6	3	9
AMBRA1	1631.494	1090.937	1604.935	1829.214	1601.909	1249.563	2555.917	1775.638	2153.435
AMD1	6347.0004	4552.0029	6936.9973	5863.0035	6574.0009	4840.0002	4780.0041	3544.9984	4597.9978
AMDHD1	9	12	12	7	12	9	40	27	36
AMDHD2	382.94113	267	332.3971	407.0175	357.7071	236.7169	592.7857	500.3981	508.2846
AMELX	0	0	0	0	0	0	0	0	0
AMELY	0	0	0	0	0	0	0	0	0
AMER1	664.896	437.938	638.78	638.159	590.102	461.145	693.067	664.668	694.566
AMER2	0	1	0	0	0	0	0	0	0
AMER3	149.13205971142	96.76856821198	155.83917318591	114.52234211803	110.3220570448	77.29427679593	88.42579887241	74.32241652248	124.20347421437
AMFR	2988.6	2250.76	2937.05	3222.42	2965.4	2136.72	5056.57	4054.61	4381.46
AMH	73	40	70	96	75	38	90	114	104
AMHR2	0	0	0	0	0	0	0	0	0
AMICA1	414	290.0003	381.00034	351.0002	341.00009	280	463.0005	304.9998	331.00025
AMIGO1	21	14	9	27	22	15	81	52	67
AMIGO2	235.9997	151.9998	209.0001	192.9999	222.0001	174.0002	214.9997	224.9997	240.0001
AMIGO3	358	240	299	340	280	222	407	351	408
AMMECR1	1874.9974	1231	1900.996	1939.004	2090.0017	1670.0004	3402.997	2856	3291.997
AMMECR1L	1144.083	778.911	1128.966	1104.2153	1080.40000002705	825.641	1474.6827	1209.038	1364.239
AMN	124	65	119	131	125	101	147	131	142
AMN1	314.9995	238.9998	362	276.0002	338	261.9999	365.0002	273.0004	349.9998
AMOT	0	0	0	0	0	0	0	0	0
AMOTL1	12.0012	6.16438	6.01048	7.00081	6.56045	5.02424	4.00598	7.00419	6.66057
AMOTL2	0	0	0	0	0	0	0	3	0
AMPD1	0	0	0	0	0	0	0	0	0
AMPD2	1580.9997	999.9998	1656.9993	1523	1206.9998	999.0001	1802.9951	1392.001	1655.0017
AMPD3	578.8024	473.1434	568.0004	563.092	451.5158	355.68968	551.2209	529.0007	616.08576
AMPH	1	0	0	0	1	1	3	0	3
AMT	154.933	91.0898	137.899675956	121.1763	132.6776	73.95793	166.5199	155.1271	182.6739
AMTN	0	0	0	0	0	0	0	0	0
AMY1A	1.14189e-07	0	1.678542e-07	1.86012e-07	3.37992e-07	7.42926e-07	1.307298e-07	2.095611e-07	2.314095e-07
AMY1B	3.05604	0	4.22733	4.21314	2.156532	7.5297	3.31995	3.36015	4.29756
AMY1C	4.70514e-07	0	6.88173e-07	7.55928e-07	1.236807e-06	2.824725e-06	5.36334e-07	8.27646e-07	9.25113e-07
AMY2A	0	0	0	1.04643	1.0913	0	3.17373	5.11382	0
AMY2B	61.944	42	106.773	89.7404	96.8538	76.4703	170.506	175.526	220.702
AMZ1	33.7226	18.3853	22.9327	28.9981	37.0493	20.9723	57.5574	39.4915	74.5232
AMZ2	2601.7180061	1906.82555	2728.6866	2634.729	2537.4685	1913.712735	3006.5921	2417.5844702	2589.4541
AMZ2P1	432.285	270.174	406.31	421.27	405.53	261.288	484.404	381.412	410.549
ANAPC1	8108.13	5603.45	7963.52	7910.48	7861.08	6137.96	10601.5	7964.13	9260.74
ANAPC10	423.118	285.1405	441.1493	434.1493	471.095408703	353.0827	686.5573	454.11497	562.24838391
ANAPC11	1134.0013	739.999	853.9999	1091.0003	928.999	662.9998	1241.0007	1036.0004	1163.9997
ANAPC13	1296.6743	954.90304	1282.3185	1220.5668	1379.3521	1048.5738	1772.62	1384.3687	1633.5411
ANAPC15	736.563	502.31	705.903	700.631	690.591	544.515	835.045	497.465	670.193
ANAPC16	2542.01783	1889.33166	2726.3089	2618.296	2863.5762	2088.394	4753.8411	3579.449	4145.3114
ANAPC1P1	48.3502	22.727	44.8716	34.5493	34.593	29.0464	34.4835	30.3632	36.7826
ANAPC2	974	627	832	1034	849	628	1438	1132	1268
ANAPC4	1693	1275	1869	1847	1911	1532	2149	1662	1912
ANAPC5	10324.25	6704.23	9547.76	10321.9	9824.13	7482.66	12278.7	9487.11	11038.1
ANAPC7	2189.001	1468.997	2164.997	2152.004	2136	1741.004	2750.999	1991.997	2346.999
ANG	25	11	14	6	8.39963	6.87999	22.8973	25	17.18477
ANGEL1	1197	785	1054	1168	1104	778	1338	1047	1313
ANGEL2	1659.4	1115.43	1702.88	1527.06	1687.82	1320.56	2278.72	1654.17	2019.13
ANGPT1	0	0	0	0	0	0	0	0	0
ANGPT2	90.6944	54.4342	103.186419236	68.00809184065	85.8203	59.1873	95.2477	65.14131	90.940773
ANGPT4	1	0	0	2	0	0	0	0	0
ANGPTL1	256	137	278	200	189	178	186	147	188
ANGPTL2	2	5	9	11	11	9	16	8	16
ANGPTL3	11	6	12	17	12	8	10	5	22
ANGPTL4	35	15	20	23	16	17	21	19	24
ANGPTL5	10	7	9	12	10	9	1	17	6
ANGPTL6	171.301	154.64	165.584	207.056	140.353	116.847	258.903	192.284	228.132
ANGPTL7	58	18	37	42	36	27	35	41	21
ANHX	0	0	0	0	0	0	0	0	2
ANK1	22.00004	14	18.00001	16.99999	17.00001	12.0000089492623	24.99999	17.99999	21.000030137851
ANK2	120	50	122.99968	198.0002	195.9999	164	1492.9969	1089.001	1248.0008
ANK3	584.9993	2123.0026	581	506.0005	486.9997	378	359.9995	311.0001	509.0005
ANKAR	108	80	133	119	122	114	200	164	168
ANKDD1A	54.067	43.0033	41.1578	56.0224	50.0185	30.0924	102.511	57.1392	72.0022
ANKDD1B	7	1	4	8	6	2	6	4	9
ANKEF1	258.3698	218.5768	315.429	242.8916	317.4707	251.6125	362.237	348.717	341.6798
ANKFN1	0	0	1	0	0	0	0	2	1
ANKFY1	2527.996	1693.0014	2500.9994	2520.0008	2412.999	1881.003	3936	3211.998	3386.9999
ANKH	983.851	631.271	872.592	997.797	915.705	680.191	1251.71	1037.28	1292.62
ANKHD1	3605.1262	2419.5889	3335.3375	3414.1733	3520.2834	2929.7563	5485.277	4159.6126	4181.4994
ANKHD1-EIF4EBP3	1882.25	1289.58	2088.07	1898.68	1352.84	1241.61	1681.17	1191.65	2160.68
ANKIB1	3330	2430	3431	3291	3382	2719	4658	3537	4127
ANKK1	21.2615	23.0859	17.0974	12.1058	19.1646	16.1771	5.03078	12.0406	13.0828
ANKLE1	2362.3	1449.12	2155.64	2210.25	2101.83	1494.31	2618.79	2218.07	2422.76
ANKLE2	3315	2270	3261	3214	3050	2376	3959	2893	3459
ANKMY1	301	189.9995	309	277	279	179.9996	732	503	569
ANKMY2	502	389	567	587	518	453	725	554	710
ANKRA2	280	171	308	273	302	220	547	445	568
