OCI-Ly1_DMSO_rep1	OCI-Ly1_DMSO_rep2	OCI-Ly1_DMSO_rep3	OCI-Ly1_JIB04_150nM_rep1	OCI-Ly1_JIB04_150nM_rep2	OCI-Ly1_JIB04_150nM_rep3	OCI-Ly1_JIB04_500nM_rep1	OCI-Ly1_JIB04_500nM_rep2	OCI-Ly1_JIB04_500nM_rep3
ACTR10	1533.72	1167.13	1644.32	1640.29	1698.71	1313.82	2886.06	2086.41	2538.5
ACTR1A	1803	1154	1710	1799	1585	1299	2143	1821	1994
ACTR1B	1865	1267	1647	1763	1735	1072	2425	1866	2166
ACTR2	10427.987	7707.9977	11182.9882	10168.998	10915.0281	8628.0048	11319.0319	8889.002	9959.997
ACTR3	16830	12675	18041	15964	16799	13314	15775	11948	14158
ACTR3B	399.6505	282.5237	411.2408	355.1018	330.59433	275.1359	472.9778	330.4783	365.3225
ACTR3BP2	0	0	1	0	1	0	0	0	0
ACTR3BP5	1	4.01671	0	0	0	2	6	0	1
ACTR3C	38.34989	20.46	43.75942	19.89848	37.40575	20.86359	71.02317	33.578	45.6779
ACTR5	986	639	915	944	815	652	1124	816	999
ACTR6	1361.588	1153.521	1464.419	1323.596	1719.497	1216.349	1955.547	1458.597	1718.886
ACTR8	1387	842	1389	1401	1359	1077	1657	1269	1483
ACTRT1	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0
ACTRT3	65	35	64	74	69	69	137	125	103
ACVR1	6	7	14	15	12	5	20	24	25.00001
ACVR1B	189.0004	135.0001	177.0005	226.9998	210.0005	156	275.9998	250.9995	268.0002
ACVR1C	1	0	3	0	2.00000085826	0	5.000000597554	9.000000329336	5.000000783498
ACVR2A	100.378	134.726	89.4658	98.5637	86.2995	61.1687	187.458	132.358	176.943
ACVR2B	393.376	341.138	475.58	481.454	476.349	322.408	726.421	580.523	693.339
ACVR2B-AS1	69.7198	57.6315	56.1278	43.9909	55.7714	42.1395	58.2146	41.3094	45.4708
ACVRL1	41.2866	30.3558	55.4047	35.3654	41.6314	23.239	49.6068	45.8081	38.2311
ACY1	95.0598	101	131	161.9998	94.2103	121.99999	116.9698	99.3244	98.7766
ACY3	5	8	6	8	4	6	1	4	2
ACYP1	443	281.0003	469	436.0005	456	412.0003	645	412.0003	593
ACYP2	149	152	176	158	189	107	256	212	227
ADA	1096	649	913	1110	884	697	1019	798	909
ADAD1	0	0	0	0	1	0	0	0	0
ADAD2	5	2	3	4	5	3	8	12	5
ADAL	961.701	752.425	1009.633	1082.179	1082.257	817.61	1613.171	1214.315	1481.858
ADAM10	3527	2500	3543	3649	3792	2990	5305	3950	4761
ADAM11	22	16	23	32	37	23	64	48	35
ADAM12	2	0	0	0	0	0	0	0	3
ADAM15	119.9999209	48.0000117189	116.000000057959	136.999872	130.99996	82.9998924	158.000000015726	164.0001	196
ADAM17	2513.69	1700.47	2809.61	2520.58	2585.22	2025.75	3717.88	2716.68	3423.04
ADAM18	0	0	0	1	0	0	0	5	1
ADAM19	474	358	482	420	419	344	245	228	301
ADAM1A	277	147	202	252	243	174	313	226	296
ADAM2	2	0	1	0	0	0	0	0	0
ADAM20	10	4	19	13	16	6	28	14	23
ADAM20P1	10	4	12	7	11	5	19	7	9
ADAM21	4	1	3	4	2	2	1	2	10
ADAM21P1	0	0	0	0	0	0	0	0	1
ADAM22	1120.00072	732.00040117739	1262.9993	1066.00018004	1215.0004	962.0001152	1858	1403.000136	1766.0004
ADAM23	2	1	3	4	5	4	9	16	14
ADAM28	180.9998	91.99995	155.9996	114	131	116	118	90	130.9997
ADAM29	12	5	25	20	19	10	14	7	6
ADAM30	0	0	0	0	0	0	0	0	2
ADAM32	142	72	161	171	197	139	173	157	229
ADAM33	28.7467	25.7007	32.0831	25.6709	24.9233	25.2762	38.5544	38.0142	32.4144
ADAM3A	15	17	10	7	12	13	23	18	25
ADAM5	2	4	5	2	15	6	5	3	7
ADAM6	0	0	0	0	2	0	0	0	2
ADAM7	0	0	0	0	0	0	0	0	0
ADAM8	35.00004	9	10	35	12	12.99997	47	24.00005	54
ADAM9	1036.0039	744.0003	1210	1052.9987	1077.9954	886	1746.0047	1316.0045	1497.0013
ADAMDEC1	5	0	4	0	5	0	3	0	3
ADAMTS1	0	0	0	0	0	0	0	0	0
ADAMTS10	0	0	0	0	0	1	1	1	1
ADAMTS12	0	0	0	0	0	0	4	1	0
ADAMTS13	37	21.00005	42	50	31	23.00001	114.0001	91	108
ADAMTS14	3.999998	0	4.999998	12.00004	4.999997	2.000003	27.00002	3.000002	13
ADAMTS15	0	0	0	0	0	0	0	0	0
ADAMTS16	0	1	0	0	0	0	1	0	1
ADAMTS17	31.5775	25.4518	27.3163	23.33	34.2011	31.1163	19.6716	40.609	22.8935
ADAMTS18	6	9	5	2	1	4	5	3	4
ADAMTS19	0	0	0	0	0	0	0	0	1
ADAMTS2	70.1717	61.2329	71.2322	67.507	55.2808	55.6076	49.4583	38.4003	67.5202
ADAMTS20	1	0	0	0	1	1	7	2	7
ADAMTS3	0	0	0	0	0	0	0	0	0
ADAMTS4	52.9998	35.8535	65.2076	53.7693	45.3797	40.4345	49.6869	36.6521	46.8726
ADAMTS5	0	0	0	0	0	0	3	0	0
ADAMTS6	1439	931	1585	1440	1619	1211	2360	1714	2078
ADAMTS7	0	4	1	1	5	0	13	12	5
ADAMTS8	1	0	0	1	0	1	0	0	0
ADAMTS9	0	0	0	0	0	0	1	0	0
ADAMTS9-AS2	0	0	0	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0	0	0	0	0
ADAMTSL2	56.469	27.9422	39.7291	58.8874	56.2272	31.9289	62.4913	47.0587	55.4013
ADAMTSL3	0	4	2	5	1	3	4	2	10
ADAMTSL4	49	37	24	47.00002	36.00004	21.00001	23	41	52
ADAMTSL5	77.5218	27.5953	60.7846	47.7198	50.7915	35.2768	88.5602	63.5019	76.567
ADAP1	3	3	4	1	2	2	10	2	8
ADAP2	138.787	99.1105	143.058	132.312	144.445	84.3664	130.112	115.727	141.777
