TMD8_DMSO_rep1	TMD8_DMSO_rep2	TMD8_DMSO_rep3	TMD8_JIB04_150nM_rep1	TMD8_JIB04_150nM_rep2	TMD8_JIB04_150nM_rep3	TMD8_JIB04_500nM_rep1	TMD8_JIB04_500nM_rep2	TMD8_JIB04_500nM_rep3
ADSL	1853.9994	1967.997	2185.9957	1320.9982	1209.9984	1533	1066.9977	979.0003	675.0004
ADSS	2317	2481	2630	1604	1551	1987	1353	1237	823
ADSSL1	2	6	5	6	10	14	23.99996	30.00001	16.00001
ADTRP	433.9997	469	553	456	499	653	616	535	355
AEBP1	2196	2388	2841	2576	2710	4247	3326	2867	2229
AEBP2	1111	1236.00400002009	1274.3086	891.2649	878.0007	1257	1061.999	880.236	620
AEN	2052	2415	2660	2339	2496	3428	2940	2615	1873
AES	5732.0026	6465.001	7460.997	4861.0029	5194.0017	6987	4801.998	4437.9949	3281.0026
AFAP1	7	5.07469	3	4	6	12	12.1366	10.2644	2
AFAP1-AS1	104	117.925	109	101	86.3439	120.173	66.8634	60.7356	63.2164
AFAP1L1	1.00008	22.0158	17.0164	16.0013	14.0047	31.0046	18.0232	11.011	5.00072
AFAP1L2	7	6.999999	13	2.999999	3	6.999995	12	10.000002	6.999998
AFF1	1194.756	1250.906	1335.087	1059.908	1198.788	1830.235	1551.712	1469.154	1081.633
AFF2	11.999996729	29.105807691	29.2155	23.1651	48.000346532	52	61.6987444	36.5399	34.00065594
AFF3	1555.148	1793.048	1964.717	1377.641	1548.306	2266.063	1845.106	1607.853	1231.646
AFF4	2134	2304	2563	2044	2244	3248	2692	2426	1811
AFG3L1P	421.47	456.9587	490.5896	270.6009	256.5835	413.0068	283.4321	257.6015	175.313
AFG3L2	3548	3825	4175	2464	2555	3114	2218	2110	1449
AFM	22	19	40	27	35	40	40	36	25
AFMID	772.3852	884.9931	1021.591	544.8521	505.4522	687.4092	445.6809	382.0875	243.6896
AFP	0	1	0	0	0	0	0	0	0
AFTPH	2601.004	2718	3056.002	2273.996	2370.997	3201.003	2343.002	2052.002	1491
AGA	239.00004	230.00004	266.0002	178	223.00049	277.00023	198.9995	182	168
AGAP1	21.000000544461	11.00000202559	15.00000704264	9.00000125683	3.999995705721	12.00000247299	7.00000123788	9.0000024201	5.000002917175
AGAP11	15.8019	15.7396	13.8513	15.7516	13.9777	13.7245	17.2733	19.1709	8.57226
AGAP2	428.782	482.46	651.568	394.25	390.9998	555.17	420.397	361.8544	250.6906
AGAP3	271	301	370	219.9999	211.0004	260.9997	201.9995	197.9999	136
AGAP4	175.989	168.37	141.471	77.8785	123.539	207.287	151.89	115.458	89.5531
AGAP5	146.165	172.28	199.85	121.881	128.991	233.769	159.3	170.635	109.625
AGAP6	539.24	574.394	670.728	404.228	459.921	661.222	484.701	436.342	364.025
AGAP7	0	4.86343	11.4992	15.5128	2.76566	38.9769	19.6292	0	7.99721
AGAP8	41.8515	65.6992	61.3455	57.4759	60.5768	49.9113	55.232	57.5254	34.7854
AGAP9	28.6625	27.1572	30.8381	21.6624	24.077	47.9448	40.7288	16.9513	33.1002
AGBL1	0	0	0	0	2	0	0	0	0
AGBL2	13.1637	13.0654	17	14	21	16.1846	28.2727	15	14.1301
AGBL3	23	34	18	16	28	31	30	28	25
AGBL4	7.26336	5.64054	3.27407	2.00677	2.14665	7.54227	4.33777	4.33174	2.147
AGBL5	491.563	467.499	583.219	369.719	334.6824	522.295	385.62	333.5055	255.419
AGER	83.00002	117.99995836	138.00003	64.99989	72.99995	110.00004	76.99998	61.99999	52.00001
AGFG1	1563.0018	1572.00243	1716.3883	1095.0002	1046.0001	1429.0025441	1101.4253	888.0002	669.99963
AGFG2	340	444	489	315	301	447	270	188	160
AGGF1	1245	1305	1377	945	911	1321	957	866	635
AGK	684	762	856	510	576	754	577	503	347
AGL	1262.9967000947	1315.00056	1364.9986	893.000227150167	853.99950124714	1237.0024	928.999699	838.999711732	587.9995
AGMAT	156.179	203.934	231.904	180.612	187.439	259.437	168.235	159.873	103.281
AGMO	13.1563	26.5978	28.2251	7.70902	14.9123	23.2946	24.8957	12.6325	11.6715
AGO1	1196	1369	1484	976	1067	1427	1041	886	617
AGO2	1149.0024	1237.9997	1314	985.9996	1115.0045	1579.0019	1293.0023	1133.004	774
AGO3	226.0003	208.9996	261.9997	195.9996	223	305.00046	251.99979	233.99967	172.0001
AGO4	256.57	312.009	347.17	247.341	288.199	374.676	311.494	271.621	163.711
AGPAT1	887.0001	1078.005	1172.9962	750.0005	847.0001	1094.9995	715	658.9999	461
AGPAT2	0	0	0	1	1	0	2	5	3
AGPAT3	1965.003	2027.9982	2224.002	1468.0028	1384	1820.0013	1310.997	1152.0007	778.0001
AGPAT4	54	73	69	53	54	93	89	76	47
AGPAT4-IT1	14.0242	20.0874	14.0938	10.0264	10.0705	15.1008	16.1448	17.1013	12.0867
AGPAT5	1160	1224	1425	732	739	908	615	578	356
AGPAT6	686.045	848.254	926.044	728.497	745.692	1034.01	870.205	752.915	586.773
AGPAT9	179.0005	176.9998	175.000400558286	122.0001	143	168	142	121	76.00001
AGPHD1	16	15.99999	16	17	9	27	15	20.99998	13
AGPS	658.394	698.042	716.596	498.746	484	645	441.669	424.593	251.54
AGR2	0	1	0	0	0	0	0	1	0
AGR3	0	0	0	0	0	0	0	0	0
AGRN	209	278	320	304	421	636	707	680	438
AGRP	36	41	49	33	30	41	25	21	15
AGSK1	116.841	142.3976	142.3106	98.1072700141613	93.6518	150.1853	161.08261	137.60608442	95.9570908591
AGT	2	1	0	0	0	0	0	0	1
AGTPBP1	1008	1093	1203	794	815	1054	810	763	530
AGTR1	0	0	0	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0	0	0	0
AGTRAP	136.00007	152.000297	183.99997	149.000050035688	109.99996	156.000023	95.0001000342243	102.99993	64
AGXT	1	0	1	0	1	2	5	2	2
AGXT2	0	0	0	0	0	0	0	0	0
AGXT2L1	0	0	0	0	0	0	0	0	0
AGXT2L2	388	457	554	343	390	529	459	403	291
AHCTF1	6843.18	6987.97	7929.91	4352.55	4514.1	5829.88	3909.08	3480.97	2613.67
AHCTF1P1	28.8225	18.0343	39.0879	15.4527	9.89929	18.1187	21.9183	21.0274	8.33387
AHCY	4503.9967	4816.0008	5385.0001	3628	3773	5062.9957	3803.9962	3473	2394.99998
AHCYL1	1467.9953	1544.004	1818.0027	1187.0035	1331.9956	1736.00470051309	1406.0031	1238.0035	909.99976
AHCYL2	385.441	441.76983	523.75021	381.1488	417.2426	531.26387	455.54582	392.20554	295.25509
AHDC1	352	394	422	408	439	714	533	566	363
AHI1	177.45863	189.7104	203.1154	193.4608	207.7935	341.449	266.8821	212.1946	169.7581131205
AHNAK	15718.98669	17108.0171	17649.00759	10814.99405	11402.02753	16769.95994	17053.9606	15487	11362.02178
AHNAK2	229	253	333	195	242	343	310	246	187
AHR	7054.58	7372.94	7958.07	4301.25	3923.12	4688.42	2420.74	2139.88	1542.94
AHRR	2318.446	2719.649	3143.932	2553.672	2805.583	4220.349	2956.602	2489.074	1866.634
AHSA1	2494	2874	3196	1659	1749	2300	1315	1145	854
AHSA2	546.475	735.087	811.79	657.588	687.549	951.147	770.399	704.678	563.17
AHSG	0	0	0	0	0	0	2	0	0
AHSP	0	0	0	1	0	2	0	0	0
AICDA	4193.6	4439.11	5088.66	2466.91	2402.91	2949.78	1569.66	1474.5	1049.35
AIDA	1635	1612	1911	1124	1151	1523	1207	1017	708
AIF1	6	3	5	4	5	13	4	4	2
AIF1L	5	15	19	5.0000042	8	12	3.99999968	9	7
AIFM1	1339.50045	1464.388	1737.327	1055.9496	1061.8856	1444.7171	920.34541	846.4611	580.769
AIFM2	166.020179741	220.412	213.9817	185.3339	201.0935	311.375	213.0727	169.7174	138.33
AIFM3	2	1	3.0000000116607	3	4	6	5	5	0
AIG1	34	43	37	27	42	44	37	25	19
AIM1	405.643	451.691	467.627	324.376	403.951	515.274	373.089	311.377	194.231
AIM1L	3	0	0	0	3	4	3	6	2
AIM2	745	773	816	574	568	676	512	475	325
AIMP1	736.9998	723.5032	776.4728	530.418	535.8692	652.5947	507.6881	480.048	340.6407
AIMP2	717.638	686.663	749.772	382.363	382.129	509.392	305.155	222.886	189.614
AIP	862	890	998	719	721	962	671	607	450
AIPL1	28.75947	47.48586	73.32662	46.87265	31.415335	61.33464	52.16469	37.95777	24.4726
AIRE	29.1724	29.6452	31.4594	28.1612	21.6021	45.6836	17.2411	26.2753	13.2885
AIRN	23.00005	27	24	26.00004	34	33	31	25	10
AJAP1	17.0762	11.2605	13.0641	15.0588	18.0856	18.0738	6.01908	20.078	3.02372
AJUBA	138.1022	181.8659	193.0297	168.63465	147.28561	253.6619	195.1093	153.40922	118.415
AK1	67.2395	122.253	133.212	92.86	99.1904	156.932	142.783	146.042	99.5445
AK2	1534.9739	1714.44493	1908.0268	976.695	962.94488	1292.7625	822.1685	735.3852	548.99994
AK3	2147.3737	2358.5183	2672.8717	1617.76379	1631.57349	2203.3031	1592.8271	1448.0995	983.7241
AK4	2056.03	2154.619	2362.774	1371.532	1317.6482	1673.1667	1271.6751	1143.9246	867.4262
AK5	3	8	2	9	6	3	2	4	3
AK7	53	63	55	46	52	79	73	49	30
AK8	6	3	4	5	8	9	10	9	4
AKAP1	1460.0041	1482.9948	1714.9973	967	976.9998	1362	884.0003	786.0001	560.9998
AKAP10	711	780	855	582	629	932	665	586	432
AKAP11	5490.73	5444.95	6117.99	4161.52	4205.01	5726.77	3584.73	3197.7	2286.59
AKAP12	54.2667	59.0616	79.6321	47.3537	49.6088	70.02	61.5404	59.96660321	47.4788
AKAP13	3525	3848.995	4152.003	3649.995	4332.002	6194.994	5344.007	4722.003	3528.995
AKAP14	2	1	1	0	2	2	0	1	0
AKAP17A	2203	2526.004	2806	2176.001	2393.997	3402.004	2643.004	2450.003	1851.995
AKAP2	2524.1347	2615.99518	2891.9929	1928.99947	2106	2943.843	2699.90104	2466.007744	1737.46728
AKAP3	15	12	12	6	10	14	14	8	14
AKAP4	0	0	0	0	0	0	0	0	0
AKAP5	152.753	203.059	210.894	164.538	200.318	288.453	201.529	190.616	143.216
AKAP6	24	26	39	24	34	64	38	39	34
AKAP7	0	0	0	0	0	0	0	1	0
AKAP8	1137	1249	1459	842	866	1196	884	748	582
AKAP8L	1170	1366	1610	1167	1392	2071	1733	1514	1126
AKAP9	2113.998	2075.995	2291.996	1856.001	1985.997	3200.997	2505.004	2146.0043	1605.997
AKD1	87.6443	105.43951	109.34986	92.88966	85.56853	130.7757	106.3282	74.0957	72.59563
AKIP1	125.95414	165.0403	224.855900162928	154.8268227538	197.48907136	277.549300863159	238.78363035	211.691207940932	151.825600550985
AKIRIN1	1272.0911	1427.4904	1695.9983	1066.2066	1095.0594	1411.4454	1065.7246	1002.4643	738.468
AKIRIN2	1193	1315	1456	1016	1101	1531	1191	1059	823
AKNA	5829.69	6364.76	7164.45	4694.58	5115.34	7432.88	5586.02	5095.5	3843.44
AKNAD1	0	1	0	1	1	0	0	1	1
AKR1A1	1380.9998	1559.999	1743	1098.99902	1112.0004	1405	1159	993.999	791.9989
AKR1B1	1417	1496	1758	1004	1041	1321	822	692	558
AKR1B10	5.30259	16.7556	15.5726	12.7244	14.8311	34.9193	19.7228	7.7778	10.8887
AKR1B15	27	44	43	34	29	59	49	46	37
AKR1C1	0	0	0	0	2	2	0	0	0
AKR1C2	13	27	30	25	13	34	20	16	11
AKR1C3	0	1	0	0	2	1	4	2	1
AKR1C4	0	0	0	0	0	0	0	0	0
AKR1C6P	3.02694	7.09559	5.12451	2.0167	4.1213	5.13701	1.04376	3.07732	5.02534
AKR1CL1	0	0	0	0	0	0	0	0	1
AKR1D1	7.0838300382573	32.40770139295	21.67120265155	16.354900535553	18.497900838285	38.22070236015	25.2026010536	29.05890191544	27.69170123841
AKR1E2	0	0	0	0	0	0	0	0	0
AKR7A2	606.964	693.895	735.763	514.157	549.358	799.42	630.148	536.808	367.782
AKR7A2P1	34	36	35	18	19	27	22	20	10
AKR7A3	16.095	21.1146	37.1438	13.3927	15.3712	21.6881	19.3175	23.0078	11.6024
AKR7L	67.4451	84.249	110.10557	48.6867	63.2733	95.7266	80.3534	71.1749	59.0499
AKT1	1754.002	1971.001	2267.001	1447	1417	1963.998	1432	1204	890.0001
AKT1S1	2197	2633.996	3027.002	1929.999	2112.001	3069.997	2361.002	2104.9975	1639.996
AKT2	3179.828	3808.381	4246.064	2516.768	2585.259	3565.584	2531.122	2297.707	1648.515
AKT3	831.4536	846.0724	956.5411	672.94634	659.353	980.307	798.0694	675.9157	478.8715
AKTIP	174.778	180.6292	213.8026	149.3359	134.5024	180.1029	162.4532	138.1654	109.4402
ALAD	486	525	605	414	459	618	486	440	309
ALAS1	1382.998	1430.001	1601.995	1181.002	1391.996	1919.997	1554.004	1288.002	962
ALAS2	2	5	6	3	6	11	6	9	6
ALB	1	1	0	0	0	0	0	1	0
ALCAM	2995.9983	3036.0036	3434.9999	2153.0035	2111.0034	2692.0052	2182.0005	1983.9963	1402.0042
ALDH16A1	1835.556	2546.004	2774.347	1982.996	2176.999	2879.0021	1954.768	1675.7614	1206.0005
ALDH18A1	2971.995	3089.995	3380	1673.996	1657.002	1975.005	1171.999	1044	782.0001
ALDH1A1	1	1	0	0	0	0	0	1	0
ALDH1A2	0	0	0	0	0	0	0	0	0
ALDH1A3	44	57	68	51	58	76	87	87	53
ALDH1B1	1223.99	1306.7	1442.6	785.377	780.673	969.138	614.462	532.3	392.934
ALDH1L1	142.000201	164.9997	186.0004	72	72	106.00003	62.00002	44	36
ALDH1L1-AS1	1	0	0	0	0	0	1	0	0
ALDH1L1-AS2	0	0	1	0	0	1	0	0	0
ALDH1L2	50.8816	73.1437306	88.741693	268.3582	315.054	484.004	428.7105	384.2505	280.9438
ALDH2	68	66.0000000984718	84	91	116	157	183	142	97
ALDH3A1	11	11.999983	17.00005	11.00003084	18	23.000012	21	12.000026	6.999999
ALDH3A2	689.9801	796.146	847.18	519.3103	539.218	680.2684	480.4171	417.2093	313.1922
ALDH3B1	86.85605488	134.974705727	147.9073	78.9191	85.31225	116.1421	74.710025892	63.752622	56.90959
ALDH3B2	1	0	0	1	2	4	6	2	1
ALDH4A1	317	322.0002	400.9997	241.0005	288	330.0004	238.9996	207.9997	154.0004
ALDH5A1	580.526	642.938	770.023	522.768	570.178	807.049	615.6995	534.215	365.072
ALDH6A1	307.74	319.537	402.836	284.963	319.975	402.707	312.112	300.131	221.451
ALDH7A1	237.11	295.494	311.554	288.8232	247.72164	361.142	275.04	209.616	171.10078
ALDH8A1	20.6757432	35.26147	33.080096	25.1656723	36.795631	36.7406	29.552736	27.126241	18.1570059
ALDH9A1	965	997	1108	768	769	997	855	722	477
ALDOA	14174.9971	14604.9985	16246.015	9163.9996	9182.9927	12020.004	7534.0011	6883.9934	4937.9954
ALDOB	0	1	1	0	0	0	2	0	1
ALDOC	299	304	374	303	323	529	622	569	434
ALG1	718.116	868.665	976.674	529.218	533.775	756.86	494.341	486.055	319.993
ALG10	403.972	436.665	445.202	318.849	352.907	461.888	329.811	279.097	217.103
ALG10B	938.839	1012	1138.19	800.683	807.816	1124.75	871.187	821.285	582.553
ALG11	363.47498	371.89324	378.3875	287.52502	291.2113	383.64579	330.06955	273.60386	194.0572
ALG12	316	350	386	289	287	393	351	269	215
ALG13	807.151587	906.55881692535	942.07204	803.0001102151	750.066457004	1181.04694	908.446352684	812.999712446	615.998491288855
ALG14	80	76	74	48	45	58	48	43	19
ALG1L	13.79482	12.68734	15.31486	6.91314	10.7236	13.562	14.448	2.58069	4.08953
ALG1L2	33.4794	47.5192	51.8673	28.1716	42.7265	63.8653	51.833	42.9144	34.0165
ALG1L9P	178.0364	218.01505	244.7949	137.22421	135.54982	238.5155	155.26048	132.46628	114.9556
ALG2	1080	1045	1141	982	1083	1385	1204	1080	794
ALG3	542.99981	573	646.0002	365.0004	415.0005	520.00031	342.99964	271.00001	221.0001
ALG5	212	255	329	174	171	242	162	155	119
ALG6	357	380	396	229	243	322	209	225	163
ALG8	894.995	916.977	1034.949	635.175	603.501	735.299	483.787	422.416	325.791
ALG9	334.5809	431.3	508.6079	324.449	328.5247	489.955	377.6103	323.6983	266.0727
ALK	0	0	0	1	1	0	7	3	5
ALKBH1	331	383	440	246	263	360	236	226	178
ALKBH2	301.9999	335.9997	376.00007	268.00051	244.99978	342.00014	204.99959	150.00002	136.00005
ALKBH3	0	0	0	0	0	0	0	1	0
ALKBH4	201.645	270.479	295.94	226.106	220.22	312.297	237.322	227.299	147.227
ALKBH5	2441	2775	3146	2019	2167	2720	1989	1841	1352
ALKBH6	216.9999	289.9996	273.0001	222.0004	242.9998	357.0003	270.0003	275.9996	165.0004
ALKBH7	237	356	404	273	287	362	345	278	215
ALKBH8	240	263	289	204	215	283	199	163	132
ALLC	15	13	13	21	11	25	30	8	18
ALMS1	1683	1590.04	1799.15	1209.06	1304.22	1809.02	1406.2	1283	921.066
ALMS1P	3	0	1	0	2.01362	6	3	2	6
ALOX12	75	98	109	67.3209	70	113	94	64.2438	60
ALOX12B	15	27	25	26	23	25	34	22	11
ALOX12P2	65	93	86	70	86	144	80	60	47
ALOX15	6.13419	8.35041	2.20303	6.24575	5.15396	15.9079	6.43994	5.6048	8.25692
ALOX15B	4.02593	10	16	7	5	6	12	12	5
ALOX15P1	2	9.85499	11.892	12.911	2	8.44942	8.74186	5.66847	5
ALOX5	94	105	124.9996	104	128.000000656382	219.0000507378	174	130.0004	106.999923
ALOX5AP	342	383	429	312	287	399	298	294	233
ALOXE3	0	1	1	2	1	7	2	2	5
ALPI	0	0	0	0	2	0	2	2	0
ALPK1	397.650932	430.410492237	434.6197845	325.2236582	387.197777301	559.7209	351.1165	333.600124	247.3499245
ALPK2	26	15	23	16	18	21	13	12	16
ALPK3	4	11	9	17	19	43	34	21	18
ALPL	825.00044	880.99992	1021.0002	487	412.0004	547.0001	409.99992	353	259.999988705
ALPP	44.3755	48.4822	60.6935	30.1552	44.3731	54.1432	35.4313	29.2752	29.1923
ALPPL2	0	0	0	0	0	0	0	0	2
ALS2	684.716	714.243	819.207	604.111	602.588	929.698	740.822	578.369	482.377
ALS2CL	45.12169	86.9347	125.873	93.6087	99.2441	157.32716	150.3293	122.01745	91.748
ALS2CR11	2	6	3	4	6.999999	5	5	8	7
ALS2CR12	36	39	37	20.00002	37.99997	50	34	32	21
ALS2CR8	142.3495	137.8606	194.3207	148.1961	152.5534	234.6841	230.2525	181.6649	124.4197
ALX1	0	1	1	0	0	1	0	0	0
ALX3	12	19	31	17	18	30	21	22	18
ALX4	2	1	6	1	1	7	7	3	0
ALYREF	2205	2552	2690	1493	1608	2206	1240	1223	877
AMACR	182.61277	208.1511	264.83855	192.2213	193.052	227.4326	216.59623	190.1655	130.4499
AMBN	0	0	0	1	2	0	0	1	0
AMBP	0	0	2	0	0	2	0	0	0
AMBRA1	1147.321	1198.01	1386.67	974.27	1043.956	1406.416	1028.255	879.467	643.579
AMD1	3014.996	3105.9961	3485	1731	1514.004	2055	1101	931	745
AMDHD1	26	36	38	26	21	45	30	25	21
AMDHD2	189	249.01536	254.64854	233.8628	249	351	289.8328	257	176.7559
AMELX	0	0	0	0	1	2	0	0	2
AMELY	0	0	0	0	0	0	0	0	0
AMER1	643.95	685.715	763.715	427.365	437.97	596.736	412.657	386.274	281.745
AMER2	10	7	10	15	12	17	16	11	9
AMER3	49.81538170071	122.0830408642	130.510602195	84.1740748507	101.7598205366	141.2943261011	116.3669798481	78.6176178055	60.9704245199
AMFR	2730.27	2951.39	3266.45	2127.3	2289.29	2826.2	2222.49	2061.95	1475.77
AMH	240	385	415	270	295.265	430	396	363	232
AMHR2	0	0	0	0.9999999	0	0	2	0	0
AMICA1	372.99979	399	496.0004	352	372.9998	478.9995	390.9998	369.0004	254.00019
AMIGO1	21	20	23	20	22	25	37	29	19
AMIGO2	32	50	43	44.99996	56	76.00004	53	40	29.99997
AMIGO3	189	217	242	190	228	323	213	218	143
AMMECR1	481.0005	491	533.9998	328.9997	348	451.0004	295.9997	271.0005	201
AMMECR1L	752.077	779.4129	851.619	641.99	635.7345	807.4968	625.015	549.8602	394.2039
AMN	175	228	269	270	241	364	329	303	206
AMN1	45	53	56	51.99997	54	59	46.99997	40	27.00001
AMOT	115	131	151	63	57	96	53	56	53
AMOTL1	641.748	689.71	769.055	511.561	566.786	817.227	580.398	534.045	355
AMOTL2	0	0	0	0	0	0	1	1	0
AMPD1	0	0	0	0	0	0.99999991	1.00000021	0	0
AMPD2	869.0003	1046.0009	1170.0006	719.00018	685.9995	961.0006	661.0004	555.99975739	394
AMPD3	541.3241	576.3112	632.1193	482.0498	585.0024	805.1117	761.01951	721.04199	503.0559
AMPH	0	1	1	0	1	1	1	1	0
AMT	36.00008028	38.2076	45.9101202	33.99995347023	36.392300207856	64.00225	46.2309128	42.24231	18.17699
AMTN	0	0	0	0	0	0	0	0	0
AMY1A	6.79326e-08	0	0	3.18789e-07	1.315641e-06	2.99709e-06	8.40963e-07	2.606076e-06	1.28949e-06
AMY1B	1.024545	0	0	1.022286	3.20427	5.54601	2.195979	4.58607	3.15288
AMY1C	2.669391e-07	0	0	1.101933e-06	4.44519e-06	9.89874e-06	2.857827e-06	8.57148e-06	4.35831e-06
AMY2A	0	0	0	0	0	0	0	0	1
AMY2B	48.9755	49	56.1181	53.9777	52.7957	54.454	64.804	54.6328	45.8471
AMZ1	21.2999	32.3661	33.0932	22.3802	22.8784	44.865	43.8757	41.0109	34.3906
AMZ2	486.0002	459.9409	498.9586	388.8702	425.9999	557.8034	494.9529	436.0003	305.85100129933
AMZ2P1	26	20.0598	23.0414	38.1307	34	83.1967	52.047	39	35.1482
ANAPC1	6446.44	6622.54	7411.26	4146.43	4037.52	5270.54	3374.25	3033.81	2251.62
ANAPC10	186.0621	178.03204	210.05547	102.06998	150.17803	171.00003	151.11073	119.02596	94.1075
ANAPC11	423	470.9994	466	316.0001	315.9999	429	310	229.0001	190
ANAPC13	461.26977	497.484	557.359	376.05	399.328	516.7212	363.612	340.032	274.011
ANAPC15	172.888	199.324	218.959	143.9	117.172	199.717	87.6891	85.7381	60.5224
ANAPC16	719.2953	929.0896	1085.0089	742.9351	782.99787	1089.1576	816.9736	726.9637	500.4081
ANAPC1P1	25.4481	28.5826	24.5713	17.0502	17.1904	20.2209	24.8357	13.3732	17.0659
ANAPC2	611	709	795	571	620	815	620	631	400
ANAPC4	331	369	427	221	247	363	253	210	159
ANAPC5	3328.456	3413.899	3772.733	2468.999	2651.555	3291.563	2513.801	2188.004	1674.338
ANAPC7	1487	1565	1736.001	973	1029	1385.995	938	852	560
ANG	2	2	9.80111	9.40206	4.905317	4.49088	7.72001	5.7471	3.71337
ANGEL1	449	540	552	387	431	523	432	406	301
ANGEL2	824.052	926.681	1092.88	755.002	719.227	1058.95	707.914	662.58	480.022
ANGPT1	0	0	0	0	0	0	0	1	0
ANGPT2	60.1765	88.5968	79.4456	68.9569296464	66.8585	103.38208	92.5786152636	79.0177	58.4725
ANGPT4	0	0	0	0	0	0	1	0	0
ANGPTL1	64	57	59	58	50	102	66	57	50
ANGPTL2	7	7	8	6	7	8	8	7	7
ANGPTL3	4	3	2	9	4	8	10	5	3
ANGPTL4	11	9	10	5	8	18	9	7	6
ANGPTL5	0	0	0	2	2	0	0	0	0
ANGPTL6	108.181	127.591	134.916	112.664	114.12	124.784	78.0783	89.4916	57.4401
ANGPTL7	17	19	19	15	15	37	21	15	14
ANHX	0	0	0	1	1	0	0	0	0
ANK1	9	7	14	15.00001	26	36.99996	35.99999	22.99997	15
ANK2	12	10	14.99999	23.99996	25.00004	51.999966	55.00002	34.00005	25.99999
ANK3	35.99997	35	36.99997	22.99999	32.00000520688	51.99996	29.99995	29.99997	31
ANKAR	95	93	108	101	111	181	136	115	83
ANKDD1A	76.0223	73.1236	90.082	63.6752	71.2061	103.031	88.0054	85.1158	54
ANKDD1B	0	3	2	4	4	6	5	6	1
ANKEF1	130.1484	168.1407	156.5258	90.3889	103.254	197.7761	152.3097	132.282	87.0364
ANKFN1	0	0	0	0	0	0	0	0	0
ANKFY1	1504.9991	1634.0005	1830	1257	1329	1739.004	1336	1229.9996	912
ANKH	493.831	587.352	647.16	548.509	566.075	903.919	811.137	654.27	466.716
ANKHD1	2360.5337	2328.2421	2270.822	2064.6652	1635.3864	2734.4114	2335.5694	1946.9552	1462.7811
ANKHD1-EIF4EBP3	2110.83	2043.59	2462.96	1295.71	1915.68	2390.21	1782.47	1646.3	1218.76
ANKIB1	1247	1295	1430	945	1015	1350	1173	1025	722
ANKK1	4.08722	5.07042	19.2217	12.0462	10.1813	19.2164	12.1527	8.023	4.02702
ANKLE1	1182.11	1518.54	1698.02	1012.33	1048.4	1464.23	934.628	752.027	530.645
ANKLE2	1962	2121	2327	1409	1442	1878	1471	1266	938
ANKMY1	443	576	672	494	492	798	630	555	405
ANKMY2	259	250	285	167	180	235	193	141	105
ANKRA2	126	121	130	155	218	283	276	269	168
ANKRD1	2.00663	5.00828	5.02556	4.03027	4.02589	3.03515	1.2299	2.0069	2.01632
ANKRD10	911	1035	1141	1097	1170	1736	1522	1391	1046
ANKRD11	2838.999	3183.997	3529.993	3999.996	4721.003	7942.006	7654.998	6725.004	5297.002
ANKRD12	4251.5	4336.38	4778.15	4072.99	4542.1085	6862.060076925	5972.5200463638	5465.7500642454	3958.96000231764
ANKRD13A	1550	1536	1733	1191	1168	1572	1172	1053	767
ANKRD13B	259	273	288	202	213	316	268	215	159
ANKRD13C	903	864	1006	723	747	1014	838	711	546
ANKRD13D	517	594	630	398.0005	431	697	490	412	312
ANKRD16	169.23889	220.7061	233.438	163.573	169.2107	259.2701	208.7206	151.3452160225	154.7144
ANKRD17	5375	5478	5928	3920	4072	5546	3912	3596	2599.996
ANKRD18A	1.09244	4.42576	1.11094	2.18137	2.18264	2.18708	3.44045	1.09244	2.14663
ANKRD18B	176.908	162.574	179.889	154.819	165.817	267.813	216.176	176.908	144.853
ANKRD18DP	7	8	6	10	8	16	14	13	9
ANKRD19P	34.025	34.0207	47.0175	42.0123	55.0157	73.0455	80.43	69	54.0708
ANKRD2	0	1	1	1	1	2	0	2	3
ANKRD20A1	2.73134	0	14.2341	3.20354	7.66792	8.01042	9.81292	0	8.21824
ANKRD20A11P	5.04306	9.86664	5.85065	9.63245	7.54454	23.1834	31.618	13.984	13.3945
ANKRD20A12P	9.77149	12	16.8874	28.6016	22.8067	36.8162	35.4265	33	28.7239
ANKRD20A19P	5.8336	16.757	15.7779	7.54102	11.5907	14.436	20.0708	12.7367	8.84427
ANKRD20A2	0.85568	0	0	1.64771	0	0	0	0	0
ANKRD20A3	9.0049	22.47043	5.53999	8.99043	10.4642	20.5994	10.257662	18.04257	4.55845
ANKRD20A4	7.33244	19.6257	9.97271	17.4674	15.0566	35.3446	34.9703	27.4002	15.7992
ANKRD20A5P	56.6364	41.7209	55.9328	54.5293	84.1048	131.691	117.708	114.167	92.1055
ANKRD20A8P	6.40674	7.41393	4.75485	15.7838	12.1318	18.396	18.5912	15.8089	10.2044
ANKRD20A9P	1796.49	2480.87	2687.23	1816.63	1996.52	3398.16	2325.64	1944.79	1473.93
ANKRD22	10.1296	18.3015	21.3759	16.2358	14.2824	26.4976	21.3273	12.1604	11.1966
ANKRD23	68	88	88	69	78	113	96	60	49
ANKRD24	0	0	2	3	2	4	2	4	2
ANKRD26	560	541.9995	596	405	477	712	538	462	321
ANKRD26P1	3	3	2	5	6	2	3	3	6
ANKRD26P3	6	3	1	8	2	6	6	2	4
ANKRD27	1506	1395	1602	885	952	1216	999	880	623
ANKRD28	1310	1339.997	1531.0048	797	775	1017	731	654	452
ANKRD29	1	0	0	0	0	2	0	0	0
